,host_length_bracket,location_indicator,count,percentage
0,0~1 year,0,5074,0.093452436
1,0~1 year,1,290,0.080712497
2,1~2 year,0,4293,0.079068054
3,1~2 year,1,293,0.081547453
4,1~2 year,2,15,0.083798883
5,2~3 year,0,7384,0.13599779
6,2~3 year,1,601,0.167269691
7,2~3 year,2,94,0.525139665
8,3~4 years,0,11154,0.205433281
9,3~4 years,1,894,0.248817144
10,3~4 years,2,55,0.30726257
11,4~5 years,0,10981,0.202246984
12,4~5 years,1,505,0.140551072
14,>5 years,0,15409,0.283801455
15,>5 years,1,1010,0.281102143
16,>5 years,2,13,0.072625698
